Time,AC Primary Load,Grid Purchases,Grid Sales,Grid Demand Limit,Total Demand Rate,Total Consumption Rate,Grid Sellback Rate,:Energy Charge,Highway Charger Served,Total EV Charger Served,CAT-50kVA-50Hz-PP Power Output,CAT-50kVA-50Hz-PP Operating Status,CAT-50kVA-50Hz-PP Fuel,Total Electrical Load Served,Renewable Penetration,Total Renewable Power Output,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity,,AC Required Operating Capacity new values
01/05/2021 05:00,45.31059,45.31059,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,45.31059,0,0,66.16938,0,66.16938,0,,52.935504
01/05/2021 06:00,71.83002,104.33,0,173.2163,6.527055,0.071407,0.071407,1,32.5,32.5,0,0,0,104.33,0,0,128.1398,0,128.1398,0,,102.51184
01/05/2021 07:00,89.86264,107.3626,0,173.2163,6.527055,0.071407,0.071407,1,17.5,17.5,0,0,0,107.3626,0,0,131.324,0,131.324,0,,105.0592
01/05/2021 08:00,71.48329,104.8166,0,173.2163,6.527055,0.071407,0.071407,1,33.33333,33.33333,0,0,0,104.8166,0,0,128.6507,0,128.6507,0,,102.92056
01/05/2021 09:00,67.23872,107.2387,0,173.2163,6.527055,0.071407,0.071407,1,40,40,0,0,0,107.2387,0,0,131.1939,0,131.1939,0,,104.95512
01/05/2021 10:00,51.21829,106.2183,0,173.2163,6.527055,0.071407,0.071407,1,55,55,0,0,0,106.2183,0,0,130.1225,0,130.1225,0,,104.098
01/05/2021 11:00,51.13027,85.29694,0,173.2163,6.527055,0.071407,0.071407,1,34.16667,34.16667,0,0,0,85.29694,0,0,108.1551,0,108.1551,0,,86.52408
01/05/2021 12:00,50.83331,69.16665,0,173.2163,6.527055,0.071407,0.071407,1,18.33333,18.33333,0,0,0,69.16665,0,0,91.21825,0,91.21825,0,,72.9746
01/05/2021 13:00,50.66806,129.0014,0,173.2163,6.527055,0.071407,0.071407,1,78.33334,78.33334,0,0,0,129.0014,0,0,154.0447,0,154.0447,0,,123.23576
01/05/2021 14:00,50.15303,111.8197,0,173.2163,6.527055,0.071407,0.071407,1,61.66667,61.66667,0,0,0,111.8197,0,0,136.004,0,136.004,0,,108.8032
